City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,San Ramon,US,37.7799,-121.978,65.91,33,0,11.5,clear sky
80,Micheweni,TZ,-4.9667,39.8333,77.56,84,1,8.88,light rain
81,Balkhash,KZ,46.844,74.9804,37.22,71,11,23.24,few clouds
82,Fatehpur,IN,25.9333,80.8,67.51,48,0,5.19,clear sky
83,Alanya,TR,36.5438,31.9998,55.53,44,0,4.63,clear sky
84,Hithadhoo,MV,-0.6,73.0833,81.3,77,97,15.59,overcast clouds
85,Caninde,BR,-4.3589,-39.3117,86.5,37,6,10.13,clear sky
86,Ugoofaaru,MV,5.6667,73.0,80.91,78,100,8.68,overcast clouds
87,Manacapuru,BR,-3.2997,-60.6206,87.55,60,97,3.04,overcast clouds
88,Lasa,IT,46.6166,10.7002,42.03,97,100,3.83,overcast clouds
89,Karachev,RU,53.1229,34.9852,32.47,92,100,7.43,overcast clouds
90,Mindelo,CV,16.8901,-24.9804,74.75,69,20,17.27,few clouds
91,Bagan,RU,54.1001,77.6646,31.6,96,100,20.6,light snow
92,Aswan,EG,24.0934,32.907,67.71,38,0,15.95,clear sky
93,Cervo,ES,43.6702,-7.4101,56.97,77,78,17.0,broken clouds
94,Itarema,BR,-2.9248,-39.9167,78.94,69,24,15.86,few clouds
95,Havelock,US,34.8791,-76.9013,69.93,82,100,9.22,light rain
96,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,80.2,89,100,2.73,overcast clouds
97,Porto Novo,BJ,6.4965,2.6036,79.41,82,38,5.95,scattered clouds
98,Pachino,IT,36.7186,15.0907,65.88,76,97,8.81,overcast clouds
99,Bull Savanna,JM,17.8868,-77.5902,80.6,75,49,7.38,scattered clouds
100,Upernavik,GL,72.7868,-56.1549,18.86,90,100,9.95,light snow
101,Souillac,MU,-20.5167,57.5167,71.98,60,40,5.75,scattered clouds
102,Grand Gaube,MU,-20.0064,57.6608,72.0,65,68,4.0,broken clouds
103,Tocopilla,CL,-22.092,-70.1979,66.78,72,22,7.76,few clouds
104,Coihueco,CL,-36.6167,-71.8333,81.34,32,0,5.75,clear sky
105,Dangriga,BZ,16.9692,-88.2321,82.72,73,6,8.86,light rain
106,Cayenne,GF,4.9333,-52.3333,82.44,74,0,8.05,clear sky
107,Clyde River,CA,70.4692,-68.5914,-0.17,71,20,5.75,few clouds
108,Norrtalje,SE,59.758,18.705,41.02,69,100,8.16,overcast clouds
109,Saint-Georges,GD,12.0564,-61.7485,79.72,82,43,13.6,light rain
110,Young,UY,-32.6833,-57.6333,85.62,21,0,13.49,clear sky
111,Teeli,RU,51.0333,90.2333,11.25,84,35,2.86,scattered clouds
112,Shache,CN,38.4167,77.2406,36.27,36,0,1.21,clear sky
113,Harper,LR,4.375,-7.7169,77.95,84,18,5.39,light rain
114,Barranca,PE,-10.75,-77.7667,67.37,73,30,9.95,scattered clouds
115,Mar Del Plata,AR,-38.0023,-57.5575,76.82,38,0,6.91,clear sky
116,Giyon,ET,8.5333,37.9833,55.08,45,0,11.12,clear sky
117,Margate,GB,51.3813,1.3862,50.31,92,100,3.0,overcast clouds
118,Komsomolskiy,UZ,40.4272,71.7189,48.92,66,40,2.3,scattered clouds
119,Castro,BR,-24.7911,-50.0119,66.92,61,0,3.62,clear sky
120,Vallenar,CL,-28.5708,-70.7581,79.21,34,100,7.25,overcast clouds
121,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,91.02,22,86,4.54,overcast clouds
122,Kasamwa,TZ,-2.85,32.4333,65.75,92,98,2.06,light rain
123,Makungu,TZ,-8.7333,35.2833,67.53,50,58,6.2,broken clouds
124,Ambalavao,MG,-21.8333,46.9333,63.72,91,100,4.03,light rain
125,Aras,ES,42.5617,-2.356,50.41,82,20,2.3,few clouds
126,Constitucion,CL,-35.3333,-72.4167,65.53,64,7,16.96,clear sky
127,Saldanha,ZA,-33.0117,17.9442,62.65,79,99,4.54,light rain
128,Kalemie,CD,-5.9475,29.1947,68.86,89,92,4.99,overcast clouds
129,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,94,100,14.97,heavy intensity rain
130,Sidi Ali,DZ,36.0998,0.4206,64.54,67,66,14.05,broken clouds
131,Arroyo,ES,41.6096,-4.7969,53.62,81,0,14.97,clear sky
132,Eresos,GR,39.1667,25.9333,49.89,69,6,7.36,clear sky
133,Lobito,AO,-12.3481,13.5456,73.9,75,61,4.76,broken clouds
134,Bumba,CD,2.1833,22.4667,72.82,91,100,3.31,light rain
135,Sabha,LY,27.0377,14.4283,62.85,34,100,2.98,overcast clouds
136,Virginia Beach,US,36.8529,-75.978,61.05,89,100,10.36,overcast clouds
137,Havoysund,NO,70.9963,24.6622,41.23,72,100,20.89,overcast clouds
138,Sloboda,RU,51.1421,40.3021,30.74,58,100,9.15,overcast clouds
139,Chemin Grenier,MU,-20.4872,57.4656,71.19,61,18,7.16,few clouds
140,Atasu,KZ,48.6814,71.6433,26.35,79,89,21.0,overcast clouds
141,Sayyan,YE,15.1718,44.3244,49.53,38,0,3.22,clear sky
142,Mangai,CD,-4.05,19.5333,69.98,86,100,0.29,overcast clouds
143,Berlevag,NO,70.8578,29.0864,40.95,81,100,26.46,overcast clouds
144,Patacamaya,BO,-17.2333,-67.9167,61.83,35,42,15.75,scattered clouds
145,Vestmannaeyjar,IS,63.4427,-20.2734,47.08,83,100,21.7,overcast clouds
146,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,92,50,10.02,scattered clouds
147,Dhidhdhoo,MV,6.8833,73.1,80.98,78,98,8.41,overcast clouds
148,Leland,US,34.2563,-78.0447,68.11,94,100,6.91,mist
149,Victoria,HK,22.2855,114.1577,75.38,85,30,10.0,scattered clouds
150,Port Shepstone,ZA,-30.7414,30.455,69.84,84,86,18.45,overcast clouds
151,Macas,EC,-2.3167,-78.1167,80.35,65,75,10.36,broken clouds
152,Nueva Gerona,CU,21.8833,-82.8,82.02,69,15,7.7,few clouds
153,Moyale,KE,3.5167,39.0584,67.35,73,12,5.88,few clouds
154,Axim,GH,4.8699,-2.2405,78.78,83,10,8.21,clear sky
155,Dabakala,CI,8.3667,-4.4333,77.2,60,1,3.78,clear sky
156,Barmer,IN,25.75,71.3833,69.01,38,7,6.62,clear sky
157,Ibia,BR,-19.4783,-46.5389,76.46,85,100,3.76,light rain
158,Carora,VE,10.1755,-70.0827,82.8,66,99,6.08,overcast clouds
159,Visby,SE,57.6409,18.296,44.06,75,100,11.5,overcast clouds
160,Cidreira,BR,-30.1811,-50.2056,74.86,50,2,11.01,clear sky
161,Ballina,AU,-28.8667,153.5667,71.02,65,1,9.01,clear sky
162,Bembereke,BJ,10.2283,2.6634,71.44,26,68,4.43,broken clouds
163,Marawi,PH,7.9986,124.2928,68.25,94,99,1.43,overcast clouds
164,Vardo,NO,70.3705,31.1107,39.18,87,75,25.32,broken clouds
165,Diffa,NE,13.3154,12.6113,74.91,22,35,9.46,scattered clouds
166,Alexandria,EG,31.2156,29.9553,66.9,56,0,6.13,clear sky
167,Matara,LK,5.9485,80.5353,75.74,90,100,2.06,overcast clouds
168,Chardara,KZ,41.2547,67.9692,46.0,63,100,11.61,overcast clouds
169,Zhanakorgan,KZ,43.9098,67.2495,36.81,63,52,9.4,broken clouds
170,Laguna,US,38.421,-121.4238,69.78,30,0,14.97,clear sky
171,Saint-Pierre,RE,-21.3393,55.4781,68.92,60,0,4.61,clear sky
172,Ostersund,SE,63.1792,14.6357,29.61,100,100,3.44,overcast clouds
173,Barra Patuca,HN,15.8,-84.2833,83.14,77,16,7.72,light rain
174,Boende,CD,-0.2167,20.8667,70.97,98,100,1.59,moderate rain
175,Sura,RU,53.8879,45.7419,24.37,85,56,4.03,broken clouds
176,Mwinilunga,ZM,-11.7358,24.4293,62.46,94,100,3.0,overcast clouds
177,Talcahuano,CL,-36.7167,-73.1167,65.88,68,0,14.97,clear sky
178,Tabou,CI,4.423,-7.3528,78.01,83,4,4.81,light rain
179,Bonavista,CA,48.6499,-53.1147,35.74,77,100,18.19,light rain
180,Beyneu,KZ,45.3167,55.2,32.14,71,100,13.13,overcast clouds
181,Baghdad,IQ,33.3406,44.4009,58.91,72,0,3.44,haze
182,Raudeberg,NO,61.9875,5.1352,52.86,57,77,9.01,broken clouds
183,Clarence Town,AU,-32.5833,151.7833,62.98,55,93,8.41,overcast clouds
184,Santa Rosa,PH,14.3122,121.1114,78.78,94,24,10.02,few clouds
185,Kamskoye Ustye,RU,55.2016,49.268,23.0,79,19,8.05,few clouds
186,Sorland,NO,67.667,12.6934,42.66,60,6,13.6,clear sky
187,Krasnoarmeyskoye,RU,52.7182,50.0322,21.13,93,84,6.44,broken clouds
188,Severodvinsk,RU,64.5635,39.8302,28.51,85,100,9.19,overcast clouds
189,Ribeira Grande,PT,38.5167,-28.7,66.78,88,40,25.32,scattered clouds
190,Lodja,CD,-3.4833,23.4333,69.66,100,100,1.99,light rain
191,Abalak,RU,58.1286,68.5944,4.95,92,100,8.7,overcast clouds
192,Vikulovo,RU,56.8167,70.6107,13.59,92,100,8.66,overcast clouds
193,Dingle,PH,10.9995,122.6711,75.56,93,63,6.26,broken clouds
194,Shinpokh,PK,34.3292,71.1782,54.81,45,4,4.45,clear sky
195,Kuminskiy,RU,58.6667,66.5667,1.26,93,100,9.42,overcast clouds
196,Kharp,RU,66.8014,65.8081,-6.11,79,23,5.41,few clouds
197,Olafsvik,IS,64.8945,-23.7142,43.3,89,100,13.44,overcast clouds
198,Barcelona,ES,41.3888,2.159,67.32,69,0,5.01,clear sky
199,Thinadhoo,MV,0.5333,72.9333,81.32,74,98,14.85,overcast clouds
200,Birjand,IR,32.8663,59.2211,36.07,44,0,6.91,clear sky
201,Kapoeta,SS,4.7717,33.5903,81.18,52,96,3.62,light rain
202,Mondlo,ZA,-27.983,30.7177,62.78,70,4,4.5,clear sky
203,Giresun,TR,40.5,38.5,29.25,71,4,7.85,clear sky
204,Ketrzyn,PL,54.0768,21.3753,43.11,82,100,6.89,overcast clouds
205,Belousovka,KZ,50.1339,82.5239,36.45,70,100,11.18,overcast clouds
206,Vila Velha,BR,-20.3297,-40.2925,78.75,89,100,10.36,overcast clouds
207,Tornio,FI,65.8481,24.1466,19.42,70,69,3.78,broken clouds
208,Viedma,AR,-40.8135,-62.9967,80.85,22,0,11.79,clear sky
209,Luwingu,ZM,-10.2621,29.9271,67.24,69,67,3.89,broken clouds
210,Coquimbo,CL,-29.9533,-71.3436,67.73,63,0,9.22,clear sky
211,Midland,US,31.9974,-102.0779,51.06,31,0,10.36,clear sky
212,Omboue,GA,-1.5746,9.2618,77.16,84,53,6.64,broken clouds
213,Algiers,DZ,36.7525,3.042,58.82,67,0,5.75,clear sky
214,Impfondo,CG,1.6381,18.0667,72.01,95,100,2.04,light rain
215,San Carlos De Bariloche,AR,-41.1456,-71.3082,62.35,48,20,28.77,light rain
216,Torbay,CA,47.6666,-52.7314,36.75,83,100,16.06,overcast clouds
217,Klaksvik,FO,62.2266,-6.589,50.92,89,100,35.84,light rain
218,Almendralejo,ES,38.6832,-6.4075,61.07,90,100,12.88,overcast clouds
219,Marsabit,KE,2.3284,37.9899,70.7,59,49,8.84,scattered clouds
220,Abu Dhabi,AE,24.4667,54.3667,80.71,75,0,4.61,clear sky
221,Colesberg,ZA,-30.72,25.0972,66.7,56,73,10.67,broken clouds
222,Puerto Madryn,AR,-42.7692,-65.0385,79.52,29,0,2.39,clear sky
223,Itaqui,BR,-29.1253,-56.5531,83.71,37,0,3.15,clear sky
224,Sambava,MG,-14.2667,50.1667,71.94,91,7,7.23,light rain
225,Jardim,BR,-21.4803,-56.1381,78.96,46,0,5.77,clear sky
226,Hofn,IS,64.2539,-15.2082,46.08,95,100,17.56,overcast clouds
227,Maniitsoq,GL,65.4167,-52.9,22.01,87,100,11.03,light snow
228,Newton Abbot,GB,50.5286,-3.6119,49.08,94,62,5.99,light rain
229,Carauari,BR,-4.8828,-66.8958,86.97,60,100,4.38,light rain
230,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,32,0,6.91,clear sky
231,Faya,SA,18.3851,42.4509,57.31,81,23,4.0,few clouds
232,Rabo De Peixe,PT,37.8,-25.5833,64.27,97,75,16.11,broken clouds
233,Lagoa,PT,39.05,-27.9833,64.02,90,9,25.08,clear sky
234,Stokmarknes,NO,68.5646,14.9108,35.56,80,11,5.75,few clouds
235,Umm Kaddadah,SD,13.6017,26.6876,71.49,20,4,13.13,clear sky
236,Caravelas,BR,-17.7125,-39.2481,76.98,85,100,10.11,overcast clouds
237,Turukhansk,RU,65.8167,87.9833,-19.89,89,10,5.7,clear sky
238,San Cristobal,VE,7.7669,-72.225,77.18,68,84,4.25,broken clouds
239,Chitipa,MW,-9.7024,33.2697,69.15,57,69,3.56,broken clouds
240,Aden,YE,12.7794,45.0367,79.32,66,1,10.45,clear sky
241,Kalghatgi,IN,15.1833,74.9667,69.98,72,51,4.12,broken clouds
242,Fethiye,TR,36.6217,29.1164,49.87,78,7,2.93,clear sky
243,Nantucket,US,41.2835,-70.0995,46.51,63,75,6.91,broken clouds
244,Fasa,IR,28.9383,53.6482,52.84,58,0,0.0,clear sky
245,Bhabua,IN,25.05,83.6167,63.39,50,0,4.54,clear sky
246,Bonthe,SL,7.5264,-12.505,78.57,79,100,3.53,overcast clouds
247,Kajaani,FI,64.2273,27.7285,26.65,93,100,5.75,overcast clouds
248,Sisimiut,GL,66.9395,-53.6735,19.02,91,100,8.9,overcast clouds
249,Parrita,CR,9.5201,-84.3225,79.29,84,78,1.7,broken clouds
250,Kapustin Yar,RU,48.5831,45.7372,29.05,59,59,5.55,broken clouds
251,Ribeira Brava,PT,32.65,-17.0667,68.72,69,100,4.68,overcast clouds
252,Mehamn,NO,71.0357,27.8492,40.91,81,75,17.27,broken clouds
253,Biltine,TD,14.5333,20.9167,74.86,22,5,8.61,clear sky
