City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Quatre Cocos,MU,2022-11-15 02:41:27,-20.2078,57.7625,71.71,54,73,16.67
68,Bestobe,KZ,2022-11-15 02:41:22,52.4994,73.0975,35.71,78,98,25.01
69,Iqaluit,CA,2022-11-15 02:41:27,63.7506,-68.5145,11.93,79,100,16.11
70,Champasak,LA,2022-11-15 02:41:28,14.75,106.0,81.48,58,60,1.19
71,Albany,US,2022-11-15 02:39:51,42.6001,-73.9662,32.65,69,22,3.0
72,Ketchikan,US,2022-11-15 02:41:28,55.3422,-131.6461,43.27,87,100,3.44
73,Mataura,NZ,2022-11-15 02:41:28,-46.1927,168.8643,71.71,45,99,2.75
74,Sao Filipe,CV,2022-11-15 02:41:29,14.8961,-24.4956,74.97,74,100,11.45
75,Verkhniy Rohachyk,UA,2022-11-15 02:41:29,47.2505,34.338,34.54,85,45,5.55
76,Ilulissat,GL,2022-11-15 02:41:30,69.2167,-51.1,30.22,80,100,16.11
77,Energetik,RU,2022-11-15 02:41:30,51.7445,58.7934,24.22,84,100,15.57
78,Agadez,NE,2022-11-15 02:41:30,19.75,10.25,60.26,31,5,10.42
79,Ocos,GT,2022-11-15 02:41:31,14.5094,-92.1933,79.97,79,31,2.73
80,Hare Bay,CA,2022-11-15 02:41:31,48.8499,-54.0148,38.8,97,96,8.61
81,Avarua,CK,2022-11-15 02:41:32,-21.2078,-159.775,77.05,57,67,13.8
82,Tuktoyaktuk,CA,2022-11-15 02:41:32,69.4541,-133.0374,12.2,92,100,18.41
83,Belance,PH,2022-11-15 02:41:32,16.1833,121.25,79.12,63,98,6.29
84,Ambilobe,MG,2022-11-15 02:41:33,-13.2,49.05,72.99,81,6,3.15
85,Kaitangata,NZ,2022-11-15 02:39:04,-46.2817,169.8464,66.87,59,87,7.54
86,Alta Floresta,BR,2022-11-15 02:41:33,-9.8756,-56.0861,73.67,82,81,1.07
87,Sri Aman,MY,2022-11-15 02:42:34,1.2376,111.4621,82.45,83,40,2.3
88,Krasnoselkup,RU,2022-11-15 02:42:34,65.7,82.4667,-14.82,94,59,10.54
89,Mar Del Plata,AR,2022-11-15 02:42:33,-38.0023,-57.5575,60.1,97,100,16.11
90,Half Moon Bay,US,2022-11-15 02:41:57,37.4636,-122.4286,56.32,71,0,8.05
91,Barrow,US,2022-11-15 02:42:35,71.2906,-156.7887,5.02,78,0,19.57
92,Temirtau,KZ,2022-11-15 02:42:35,50.0544,72.9483,31.08,96,99,25.7
93,Lewiston,US,2022-11-15 02:37:57,44.1003,-70.2148,33.24,74,0,3.44
94,Tura,IN,2022-11-15 02:42:35,25.5198,90.2201,72.05,67,0,0.72
95,Sibot,RO,2022-11-15 02:42:36,45.95,23.3333,43.52,66,23,0.85
96,Nueve De Julio,AR,2022-11-15 02:42:36,-35.4444,-60.8831,60.96,67,0,1.01
97,Arlit,NE,2022-11-15 02:35:31,18.7369,7.3853,65.59,20,27,6.85
98,Westport,US,2022-11-15 02:37:47,41.1415,-73.3579,40.82,62,0,5.75
99,Olafsvik,IS,2022-11-15 02:42:37,64.8945,-23.7142,45.01,77,100,6.13
100,Qaanaaq,GL,2022-11-15 02:42:37,77.484,-69.3632,-2.54,79,38,4.9
101,Simpsonville,US,2022-11-15 02:42:37,34.7371,-82.2543,46.92,59,100,9.22
102,Santa Rosa,PH,2022-11-15 02:34:10,14.3122,121.1114,85.1,77,99,12.88
103,Socorro,US,2022-11-15 02:42:38,31.6546,-106.3033,54.18,24,0,4.61
104,Aqtobe,KZ,2022-11-15 02:42:38,50.2797,57.2072,23.09,86,100,22.37
105,Garowe,SO,2022-11-15 02:42:39,8.4054,48.4845,69.49,77,60,6.02
106,Arteaga,MX,2022-11-15 02:42:39,18.4667,-102.4167,65.08,80,100,2.1
107,Celestun,MX,2022-11-15 02:42:39,20.8667,-90.4,77.23,79,54,13.35
108,Port Alfred,ZA,2022-11-15 02:42:40,-33.5906,26.891,63.18,87,39,1.99
109,Hithadhoo,MV,2022-11-15 02:42:40,-0.6,73.0833,81.54,77,76,14.32
110,Kununurra,AU,2022-11-15 02:38:58,-15.7667,128.7333,93.18,52,5,3.44
111,Tessalit,ML,2022-11-15 02:42:41,20.1986,1.0114,71.26,18,100,8.43
112,Charagua,BO,2022-11-15 02:42:41,-19.8,-63.2167,67.59,75,100,4.0
113,Mahebourg,MU,2022-11-15 02:42:41,-20.4081,57.7,71.89,60,75,9.22
114,Poum,NC,2022-11-15 02:42:42,-20.2333,164.0167,76.89,77,23,2.93
115,Viedma,AR,2022-11-15 02:42:42,-40.8135,-62.9967,59.49,56,0,7.02
116,Kodiak,US,2022-11-15 02:42:42,57.79,-152.4072,31.51,93,0,3.44
117,Saskylakh,RU,2022-11-15 02:42:43,71.9167,114.0833,-17.64,96,93,6.42
118,Ouango,CF,2022-11-15 02:42:43,4.3133,22.5552,65.77,80,81,2.66
119,Kaka,TM,2022-11-15 02:42:43,37.3482,59.6143,47.59,62,0,4.12
120,Cayenne,GF,2022-11-15 02:38:11,4.9333,-52.3333,77.04,94,75,0.0
121,Bosaso,SO,2022-11-15 02:42:44,11.2842,49.1816,74.41,75,0,1.57
122,Bykovo,RU,2022-11-15 02:42:44,55.6361,38.0803,32.41,59,75,2.24
123,Kavieng,PG,2022-11-15 02:42:44,-2.5744,150.7967,85.57,69,81,10.09
124,Khani,GE,2022-11-15 02:42:45,41.9563,42.9566,42.37,90,99,2.59
125,Lata,PT,2022-11-15 02:42:45,40.1629,-8.3327,59.07,95,100,6.71
126,Casper,US,2022-11-15 02:38:04,42.8666,-106.3131,26.73,81,75,1.99
127,Sabya,SA,2022-11-15 02:42:46,17.1495,42.6254,78.42,69,0,5.44
128,Hilo,US,2022-11-15 02:40:29,19.7297,-155.09,80.33,74,100,8.05
129,Kruisfontein,ZA,2022-11-15 02:42:46,-34.0033,24.7314,65.55,55,84,9.75
130,Castro,BR,2022-11-15 02:42:47,-24.7911,-50.0119,61.07,98,97,4.0
131,Airai,TL,2022-11-15 02:42:47,-8.9266,125.4092,78.4,49,58,1.57
